"month","avg_energy","avg_loudness","avg_speechiness","avg_acousticness","avg_valence","avg_instrumentalness","avg_liveness","avg_tempo"
"January",0.610925619834711,-6.68458953168044,0.0812052341597796,0.272229163636364,0.480479338842975,0.00901659779614325,0.181104407713499,127.424490358127
"February",0.635978835978836,-6.30372222222222,0.0820248677248677,0.244882056349206,0.483846560846561,0.00791709616402116,0.174271428571429,126.51558994709
"March",0.638975069252078,-6.24953462603878,0.0791257617728532,0.243574335180055,0.465501385041551,0.00657505944598338,0.169807202216066,127.215049861496
"April",0.635847133757962,-6.32870700636943,0.0804738853503185,0.242559191082803,0.475424628450106,0.00646818753715499,0.168167515923567,125.873016985138
"May",0.640758064516129,-6.36502688172043,0.0902110215053763,0.223766198924731,0.49742876344086,0.00175313803763441,0.166169086021505,127.709403225806
"June",0.644529569892473,-6.43170161290323,0.094414247311828,0.20926927688172,0.487062096774194,0.0098298088172043,0.16013252688172,127.221317204301
"July",0.657444444444444,-6.21713289760349,0.0976575163398693,0.199182444008715,0.50932788671024,0.0157517958169935,0.169370152505447,127.821350762527
"August",0.657644297082228,-6.31573209549072,0.090242175066313,0.207577122015915,0.498942175066313,0.0227168431564987,0.173318302387268,127.122559681698
"September",0.623864091858038,-6.60405636743215,0.0864386221294363,0.267847100208768,0.47837139874739,0.0242475972860125,0.170229436325678,123.496603340292
"October",0.620319892473118,-6.66625537634409,0.0961806451612903,0.258461564516129,0.46747311827957,0.0224310905376344,0.170311559139785,124.249389784946
"November",0.649915966386555,-6.33682913165266,0.0892680672268908,0.209182860784314,0.484785714285714,0.0201897468347339,0.191302521008403,124.906638655462
"December",0.62157345971564,-6.99802843601896,0.0865947867298578,0.266751840995261,0.521691706161137,0.0157265998578199,0.183256161137441,126.772848341232
